the_geom,the_geom_webmercator,objectid,serialnum,description,recycler,lat,lng
0101000020E6100000FFA62686C8CA52C021750C2FF5F84340,0101000020110F000098D0EF7A99EB5FC196F67C9F17885241,309,172062,Se 16th and Lombard,no,39.944982415278226,-75.16848901533739
0101000020E6100000110C2D192BCB52C01613BE5A5AFA4340,0101000020110F00007F832AEB40EC5FC1A5862C53A3895241,310,172063,Ne 21/Arch,no,39.95588239937767,-75.17450551413664
0101000020E61000009C05099E2CCB52C0A9728C332DF94340,0101000020110F000024C4AE7F43EC5FC168B3F5AD55885241,311,172065,Se 20th/Pine,no,39.94669193609054,-75.17459822541281
0101000020E61000009191813623CB52C042866FB5BCFA4340,0101000020110F00000D91408633EC5FC1395AF44C108A5241,312,172067,Se 21st / Winter,no,39.958883933501525,-75.1740242257422
0101000020E61000008FFEDB9E52CB52C009DDD3769DFA4340,0101000020110F000036C6110D84EC5FC137666EAEED895241,313,172069,Se 23rd/Race,no,39.957930425118384,-75.17691775783372
0101000020E610000010D19CB82CC952C02ECDC7FFD7F94340,0101000020110F0000F868D8FDDDE85FC122A350E612895241,314,172070,Sw 2nd/Arch,no,39.951904270705526,-75.14335456194044
0101000020E61000003F6C8C45ABCA52C0D0D48AEA11F94340,0101000020110F00001EBCCACA67EB5FC1AC5DE37337885241,315,172071,Ne 15th/Pine,no,39.94585925845024,-75.16670359337967
0101000020E6100000C5CF0B2FABCA52C0BA921FE639FA4340,0101000020110F0000C7C191A467EB5FC1EAF78F5D7F895241,316,172072,Sw 16th/Parkway,no,39.954891934792116,-75.16669822839238
0101000020E61000000697A37BC0CA52C069DBFB2C3DFA4340,0101000020110F000025D958D28BEB5FC11FC5FAFE82895241,317,172073,Ne 17th/Arch,no,39.95499193475445,-75.16799822784023
0101000020E6100000462BDAC766C952C0BA1B99FAE7F94340,0101000020110F000035B78D9C40E95FC14E428F9A24895241,318,172074,Sw 4th/Arch,no,39.952391934165874,-75.14689823442049
0101000020E6100000B572E0D83CCD52C053BC2C44FBF74340,0101000020110F000072A614C0C4EF5FC19BD43BC802875241,319,172076,4910 Botanic Ave - Outdoor storage room,no,39.93735553917272,-75.20683881682164
0101000020E6100000D2E36B2465C952C079BAC1BC6EF94340,0101000020110F00009BB21BD43DE95FC1DBEF54489E885241,320,172077,Bet/3rd/4th/Chestnut,no,39.948691935152006,-75.14679823433042
0101000020E6100000BE8FFCD671CA52C0AACEC0D5E1F84340,0101000020110F00008DCD023D06EB5FC10E014C3002885241,321,172078,Sw 13th/Lombard,no,39.944391936439686,-75.1631982294484
0101000020E6100000EABE0EA7B6CA52C054FC772878FA4340,0101000020110F0000A526AE1F7BEB5FC14A9AB758C4895241,322,172079,Sw 17th/Race,no,39.95679193361926,-75.16739822807327
